
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
         0          0          0          0          0   AR1000.obj
      1780          0          0         20        771   Capacitive_TP_I2C.obj
      1872        133         64        325       1320   Capacitive_TP_MSTAR_MSG21XX.obj
        20        340          0          0        260   CharsetTable.obj
      4308        395         73        336       3310   Conversions.obj
         4          0          0          0         52   Customer_sim_voltage_support.obj
       130          0          0          0        130   MSG2133_update_FW.obj
         0          0          0          0          0   MT5192FM.obj
         0          0          0          0          0   MT5193FM.obj
         0          0          0          0          0   MT6188.obj
         0          0          0          0          0   MT6189.obj
        24          0          0          0        312   MT6302_custom.obj
        40          0          0          0        312   MT6306_custom.obj
         0          0          0          0          0   MT6616.obj
         0          0          0          0          0   MT6626.obj
         0          0          0          0          0   NS953_SerialComm.obj
         0          0          0          0          0   TEA5761UK.obj
         0          0          0          0          0   TEA5767HN.obj
         0          0          0          0          0   adc_channel.obj
         0        128         32          0          0   adc_nvram_def.obj
         0         10          0          0          0   adc_var.obj
        24          0          0          0        111   afe.obj
         0        576          0          0          0   alerter_tone.obj
         2          0          0          0         52   alerterdrv.obj
         0         96         16          0          0   apm_TaskDef.obj
         0          0          0          0          0   ast_hif_hw.obj
       260          0          0          0        465   ata_at_command_customer_hdlr.obj
         0          0          0          0          0   aud_I2S_config.obj
         0       2257          0          0          0   aud_common.obj
        58       1118          0          0        161   audcoeff.obj
         0       3736        160          0          0   audio_nvram_def.obj
        22         16          0          0        416   aux_custom.obj
        52          0          0          0        156   battery_measure.obj
         2          0          0          0         52   brt_drv_init.obj
      1324          0         67       5007       2126   bt_common_config.obj
         0          0          0          0          0   btmtk_config.obj
       316          0          0          0        470   camera_hw.obj
         0          0         64          0          0   camera_nvram_def.obj
      1762          0          0         64       1188   camera_sccb.obj
         2          0          0          0         52   camera_tuning_oper.obj
         0        320          0          0          0   camera_tuning_para.obj
        22          0          0          0        260   certman_cert_config.obj
         4       1753          4          0         52   certman_gadget_certs.obj
        34          0          0          0        208   chr_parameter.obj
         0          0        161          6          0   color_custom.obj
       400         48          4          0        337   combo_flash_init.obj
      1296        424          0      19208       1082   combo_flash_nor.obj
         0          0          0          0          0   common_mmi_cache_config.obj
         0          0          9          1          0   cust_ocsp.obj
         0          0          0          0          0   custom_EMI_MT6250.obj
         0          0          0          0          0   custom_EMI_MT6255.obj
