
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
         0          0          0          1          0   ABMLoader.obj
       118          0          8      16396        239   CompressResUtil.obj
         0        102          2          0          0   CustAdoMap.obj
         0         42          2          0          0   CustAdoMapExt.obj
         0        184          0          0          0   CustAdoRes.obj
         0       3083          0          0          0   CustAdoResExt.obj
         0         10          2          0          0   CustBinaryMap.obj
         0         39          0          0          0   CustBinaryRes.obj
        40       5310          0          0        312   CustCoordinates.obj
         0         12          0          0          0   CustENFBImgMap.obj
         0          4          0          8          0   CustFontMapExt.obj
         0         22          0          0          0   CustFontResExt.obj
         0          0          0          0          0   CustImgDataRes_0.obj
         0          0          0          0          0   CustImgDataRes_1.obj
         0          0          0          0          0   CustImgDataRes_2.obj
         0          0          0          0          0   CustImgDataRes_3.obj
         0          0          0          0          0   CustImgGroup3rdROMMap.obj
         0          0          0          0          0   CustImgGroup3rdROMRes.obj
         0      49675          0          0          0   CustImgGroupDataRes_0.obj
         0      55614          0          0          0   CustImgGroupDataRes_1.obj
         0      48873          0          0          0   CustImgGroupDataRes_2.obj
         0      44147          0          0          0   CustImgGroupDataRes_3.obj
         0        390          0          0          0   CustImgGroupMap.obj
         0       2878          0          0          0   CustImgGroupRes.obj
         0          0          0          0          0   CustImgGroupSingleData3rdROMRes.obj
         0     123101          0          0          0   CustImgGroupSingleDataRes.obj
         0       2198          2          0          0   CustImgMap.obj
         0         20          2          0          0   CustImgMapExt.obj
         0         41          0          0          0   CustImgRes.obj
         0      30312          0          0          0   CustImgResExt.obj
         0      20928          2        280          0   CustMenuRes.obj
        64          3          0          0        165   CustMiscData.obj
         0       6498          0          0          0   CustStrMap.obj
         0          0          0          0          0   CustStrMapComp.obj
         0      76706          0          0          0   CustStrRes.obj
         0          0          0          0          0   CustStrResComp.obj
         0          0          0          0          0   CustStrSearchComp.obj
         0          8          0          0          0   CustVenusAppIconData.obj
         0          8          0          0          0   CustVenusThemeData.obj
         0       9421          0          0          0   FontData.obj
         0       9743         30          0          0   FontRes.obj
         0          0         88          0          0   FontType.obj
         0        302          0          0          0   IMERes.obj
        16          0         32    1343968        104   MemoryRes.obj
         0          0          0          0          0   OTFRes.obj
       134          0          0          0       1716   ReadThemeRes.obj
       946          0          0      18648        653   ResCache.obj
        70          0          0          0        354   ResCacheUtil.obj
         0          0          0          0          0   ResThirdROMUtil.obj
       432          1          0        120        101   StandaloneRes.obj
         0      12983          0          0          0   ThemeRes.obj
         0          0         16          0          0   gui_wrapper.obj
      3168       3962          0          0        372   mmi_cache_table.obj
         4       1036          0          0         52   mmi_rp_app_data.obj
         0       2952       4332          0          0   mmi_rp_callback_mgr_table.obj
         0       1112          0          0          0   mmi_rp_file_type_table.obj
         0          0          0          4          0   mmi_rp_img_misc_data.obj
         0        328         12          0          0   mmi_rp_menu_misc_data.obj
         4        324          0          0         52   mmi_rp_menu_shortcut_data.obj
         4        152          0          0         52   mmi_rp_native_app_package_data.obj
       168     205559          0         56        111   populateres.obj
         0          0          0          0          0   qwerty_lang_res.obj
      5450        604          2       3228       5114   readres.obj
         0          0          0          0          0   resource_abrepeat_skins.obj
         0          0          0          0          0   resource_aud_eq_values.obj
         0        312          0          0          0   resource_audply_skins.obj
         0          0          0          0          0   resource_audply_sub_skins.obj
         0          0          8          0          0   resource_autogen_audio_jtbl.obj
         0          0          0          0          0   resource_barcodereader_skins.obj
         0          0          0          0          0   resource_bcr_skins.obj
         0         20          0          0          0   resource_calc_coordinates.obj
         0          0          0          0          0   resource_camcorder_skins.obj
         0       5498          0          0          0   resource_camera_skins.obj
         0          0          0          0          0   resource_ecompass.obj
         0        352          0          0          0   resource_fmradio_skins.obj
         0          0          0          0          0   resource_fmradio_sub_skins.obj
         0          0          0          0          0   resource_fmschedulerec_skins.obj
         0          0          8          0          0   resource_image_jtbl.obj
         0          0         68          0          0   resource_lang_pack_jtbl.obj
         0          0          0          0          0   resource_langln_lk_skins.obj
         0          0          0          0          0   resource_mediaplayer_skins.obj
         0         11          0          0          0   resource_shortcuts.obj
         0        264          0          0          0   resource_sndrec_skins.obj
         0          0        716          0          0   resource_video_skins.obj
         0          0          0          0          0   resource_vt_skins.obj
         8       1272          0          0        104   resource_world_clock_city.obj
     10626     726416       5332    1382709       9501   TOTAL

