
      Code    RO Data    RW Data    ZI Data      Debug   Object Name
       860          0          5          0        636   DCXO_DIV_Trace1.obj
      1640         48          0         64        996   MD_TOPSM.obj
       248          0          5          0        184   MD_TOPSM_Trace1.obj
       152          0          0          0         52   MODEM_TOPSM.obj
       568          0          5          0        364   OSTD_Trace1.obj
       400          0          5          0        308   SleepDrv_Trace1.obj
       832          0          0         56        784   dcxo_div.obj
      1232          0          1        117        864   ostd.obj
       952          0          0        218        964   sleep_drv_internal.obj
         0          0          0          0          0   sleep_drv_public.obj
      6884         48         21        455       5152   TOTAL

